"departamento","arma ","fecha","genero","población"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","3/29/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","7/3/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","3/27/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","6/15/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","3/16/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","8/6/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","5/12/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","2/23/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","2/26/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","3/1/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","3/8/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","3/24/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","3/28/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","5/10/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","5/15/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","6/2/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","8/18/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","2/3/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","3/2/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","3/6/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","5/10/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","3/1/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA BLANCA / CORTOPUNZANTE","6/21/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA BLANCA / CORTOPUNZANTE","6/19/2022","MASCULINO","ADULTOS"
