Fecha,Departamento,Municipio,Día,Barrio,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Sexo
01/01/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,PATIO BONITO I E-8,CICLO RUTA,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO
01/02/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,URB. LA PUERTA DEL SOL E-11,VIAS PUBLICAS,CONTUNDENTES,A PIE,BICICLETA,MASCULINO
01/02/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,ABRAHAM LINCON E-6,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO
01/03/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,AURES I-II E-11,RODANDO SOBRE VIA - VIA PUBLICA,SIN EMPLEO DE ARMAS,BICICLETA,BICICLETA,MASCULINO
01/03/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,PROVENZA E-11,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,BICICLETA,MASCULINO
01/03/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,MINUTO DE DIOS E-10,CICLO RUTA,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,FEMENINO
01/03/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,EL RINCÓN E-11,CICLO RUTA,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO
01/04/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,URB. NUEVA ZELANDIA E-11,CONJUNTO RESIDENCIAL,CONTUNDENTES,A PIE,BICICLETA,FEMENINO
01/04/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,URB. MADELENA I Y II SECTOR E-19,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO
01/04/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,SAN JOSE SPRING E-11,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,BICICLETA,BICICLETA,MASCULINO
01/04/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,DIANA TURBAY E-18,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO
01/05/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,SAN ANTONIO NORTE E-1,PARQUES,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO
01/05/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,URB. EL BATAN E-11,RODANDO SOBRE VIA - VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO
01/05/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,GILMAR E-11,CICLO RUTA,ARMA BLANCA / CORTOPUNZANTE,BICICLETA,BICICLETA,MASCULINO
01/05/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,LA CASTELLANA E-12,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,BICICLETA,MASCULINO
01/05/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,MACARENA E-9,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,BICICLETA,MASCULINO
01/05/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,PATIO BONITO I E-8,VIAS PUBLICAS,ARMA DE FUEGO,BICICLETA,BICICLETA,MASCULINO
01/06/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,URB. SAN CIPRIANO E-11,FRENTE CONJUNTO - VIA PUBLICA,ARMA DE FUEGO,A PIE,BICICLETA,FEMENINO
01/06/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,LAS MARGARITAS E-7,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO
01/07/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,SAN CRISTOBAL E-1,SOBRE ANDEN - VIA PUBLICA,SIN EMPLEO DE ARMAS,BICICLETA,BICICLETA,MASCULINO
01/07/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,BOSA CARBONEL II E-7,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,CONDUCTOR MOTOCICLETA,BICICLETA,MASCULINO
01/07/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,SAN PEDRO E-11,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,BICICLETA,MASCULINO
01/07/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,QUINTA CAMACHO E-2,VIAS PUBLICAS,ARMA DE FUEGO,BICICLETA,BICICLETA,MASCULINO
01/08/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,SAN DIEGO E-3,PARQUEADERO,SIN EMPLEO DE ARMAS,A PIE,BICICLETA,MASCULINO
01/08/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,LA PERSEVERANCIA E-3,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,BICICLETA,MASCULINO
01/08/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,LA ESTRADA E-10,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,BICICLETA,BICICLETA,MASCULINO
01/09/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,EL PINAR E-11,CONJUNTO RESIDENCIAL,CONTUNDENTES,A PIE,BICICLETA,MASCULINO
01/09/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,LA LIBERIA E-1,PARQUES,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO
01/10/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,GALAN E-16,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,BICICLETA,MASCULINO
01/10/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,NIZA NORTE E-11,VIAS PUBLICAS,CONTUNDENTES,A PIE,BICICLETA,MASCULINO
01/10/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,NORMANDIA E-10,CICLO RUTA,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,FEMENINO
01/10/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,PUENTE LARGO E-11,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,BICICLETA,FEMENINO
01/10/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,EL PORVENIR E-7,VIAS PUBLICAS,ARMA DE FUEGO,BICICLETA,BICICLETA,MASCULINO
01/10/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,BRAVO PÁEZ E-18,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,BICICLETA,MASCULINO
01/11/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,ALCAZARES E-12,PARQUEADERO,CONTUNDENTES,A PIE,BICICLETA,MASCULINO
01/11/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,QUIRINAL E-13,PARQUEADERO,CONTUNDENTES,A PIE,BICICLETA,MASCULINO
01/11/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,CENTRO ADMINISTRATIVO E-17,CICLO RUTA,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO
01/12/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,CHAPINERO ALTO E-2,APARTAMENTO,SIN EMPLEO DE ARMAS,A PIE,BICICLETA,FEMENINO
01/12/2017 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,LA CALLEJA E-1,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,BICICLETA,MASCULINO
